Feature-Feature Interaction	HepG2 - Interaction SHAP	K562 - Interaction SHAP	HepG2 - F1 (1st Individual Feature in Interaction) SHAP	K562 - F1 (1st Individual Feature in Interaction) SHAP	HepG2 - F2 (2nd Individual Feature in Interaction) SHAP	K562 - F2 (2nd Individual Feature in Interaction) SHAP	HepG2 - Both Bound: # Points	K562 - Both Bound: # Points	HepG2 - Both Bound: Average	K562 - Both Bound: Average	HepG2 - Both Bound: Median	K562 - Both Bound: Median	HepG2 - F1 Bound Only: # Points	K562 - F1 Bound Only: # Points	HepG2 - F1 Bound Only: Average	K562 - F1 Bound Only: Average	HepG2 - F1 Bound Only: Median	K562 - F1 Bound Only: Median	HepG2 - F2 Bound Only: # Points	K562 - F2 Bound Only: # Points	HepG2 - F2 Bound Only: Average	K562 - F2 Bound Only: Average	HepG2 - F2 Bound Only: Median	K562 - F2 Bound Only: Median	HepG2 - Both Bound vs F1 Bound Only: Abs(Diff Average)	HepG2 - Both Bound vs F1 Bound Only: Abs(Diff Median)	K562 - Both Bound vs F1 Bound Only: Abs(Diff Average)	K562 - Both Bound vs F1 Bound Only: Abs(Diff Median)	HepG2 - Both Bound vs F2 Bound Only: Abs(Diff Average)	HepG2 - Both Bound vs F2 Bound Only: Abs(Diff Median)	K562 - Both Bound vs F2 Bound Only: Abs(Diff Average)	K562 - Both Bound vs F2 Bound Only: Abs(Diff Median)	Statistical Testing Directionality	HepG2 - Both Bound vs F1 Bound Only: Mann-Whitney U	K562 - Both Bound vs F1 Bound Only: Mann-Whitney U	HepG2 - Both Bound vs F2 Bound Only: Mann-Whitney U	K562 - Both Bound vs F2 Bound Only: Mann-Whitney U	HepG2 - Both Bound vs F1 Bound Only: Welch's t-test	K562 - Both Bound vs F1 Bound Only: Welch's t-test	HepG2 - Both Bound vs F2 Bound Only: Welch's t-test	K562 - Both Bound vs F2 Bound Only: Welch's t-test	All MWU Significant	Rec-Y2H	Street et al | IP-MS	Street et al | IP/SEC-MS (Both)	Rec-Y2H/Street et al. IP-MS (Union)
PRPF8_4-GRWD1_6-interaction-shap	0.0991373360157013	0.11553775519132614	1.359736680984497	1.0885541439056396	-0.2737436294555664	-0.32360902428627014	101125	25465	0.9554964054388133	0.9485004908698212	0.999	0.999	662691	623265	0.9671783244377848	0.9562550070997086	1.0	0.999	402515	145313	0.7437018371986137	0.7817427346486548	0.984	0.992	0.01168191899897153	0.0010000000000000009	0.0077545162298873205	0.0	0.2117945682401996	0.015000000000000013	0.1667577562211664	0.007000000000000006	greater	0.9999999999999667	0.8663087675408151	0.0	0.0	1.0	0.9999999999967037	0.0	0.0	false	None	False	False	False
BUD13_3-AQR_4-interaction-shap	-0.002510639140382409	-0.14909878373146057	0.7667649984359741	1.022349238395691	0.7352287769317627	1.1961925029754639	22228	86385	0.9726741497210725	0.9740760895988888	1.0	1.0	90592	209705	0.9610233905863651	0.9578881380987576	1.0	1.0	226505	878635	0.9631726805147789	0.9601697838123908	0.999	0.999	0.011650759134707367	0.0	0.016187951500131192	0.0	0.009501469206293578	0.0010000000000000009	0.013906305786497986	0.0010000000000000009	less	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	false	None	False	False	False
PRPF8_2-GRWD1_5-interaction-shap	0.040547680109739304	0.0015797266969457269	-0.17347882688045502	-0.15538087487220764	-0.35363882780075073	-0.0436827652156353	130681	32084	0.7832956206334508	0.849426567759631	0.99	0.998	1106801	902880	0.7948671748579914	0.8061085526315787	0.988	0.989	283434	150817	0.7962108815456157	0.8401468932547391	0.991	0.995	0.011571554224540592	0.0020000000000000018	0.043318015128052334	0.009000000000000008	0.012915260912164883	0.0010000000000000009	0.009279674504891866	0.0030000000000000027	greater	2.5060952940996213e-6	7.0473507533042115e-295	1.0	4.019954366782904e-42	1.0	3.386970239371448e-120	1.0	2.032356486716225e-6	false	None	False	False	False
FXR2_3-IGF2BP1_3-interaction-shap	-0.08726153522729874	-0.0030674757435917854	0.6237109899520874	0.24987705051898956	1.0084174871444702	1.3440452814102173	274	348	0.9964963503649634	0.992566091954023	1.0	1.0	37251	53884	0.9849511154062978	0.9767714906094572	1.0	1.0	31916	77092	0.9732452374984333	0.9725385772842837	1.0	0.999	0.011545234958665662	0.0	0.015794601344565784	0.0	0.023251112866530144	0.0	0.020027514669739288	0.0010000000000000009	less	0.9999999998336067	0.8890413268159112	0.999999999999923	0.9910413241667675	1.0	1.0	1.0	1.0	false	False	False	False	False
DDX3X_3-AQR_5-interaction-shap	-0.014705664478242397	-0.0987849310040474	1.1461492776870728	1.1887235641479492	-0.11271006613969803	-0.43198004364967346	22340	15611	0.9476378692927484	0.9222319518288387	0.997	0.997	66342	173669	0.9591590093756596	0.961687722045961	0.997	0.997	368067	379547	0.8036761595035685	0.8177345203624319	0.993	0.991	0.011521140082911163	0.0	0.03945577021712232	0.0	0.14396170978917988	0.0040000000000000036	0.10449743146640678	0.006000000000000005	less	0.00020306483402259733	2.2824291461804946e-12	1.0	1.0	1.6795075212678323e-24	2.535060316190379e-124	1.0	1.0	false	None	False	False	False
LIN28B_3-PRPF8_4-interaction-shap	-0.04067380726337433	-0.053661417216062546	1.011259913444519	1.3737187385559082	1.359736680984497	1.0885541439056396	11030	20169	0.9923421577515865	0.991508255243195	1.0	1.0	38446	115419	0.980940201841544	0.9759500428872193	1.0	0.999	752786	628561	0.9652403352347149	0.9548096557056516	1.0	0.999	0.01140195591004256	0.0	0.015558212355975654	0.0010000000000000009	0.027101822516871654	0.0	0.0366985995375434	0.0010000000000000009	less	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	false	None	False	False	False
RPS3_3-IGF2BP1_4-interaction-shap	-0.006508206948637962	-0.09621317684650421	0.7269369959831238	1.4697649478912354	1.2440402507781982	1.492333173751831	5552	1180	0.995927053314121	0.9985347457627118	1.0	1.0	112767	76256	0.9846317362348914	0.9898835632605961	1.0	0.999	29736	82503	0.9546646489104116	0.9826359526320255	0.999	0.999	0.011295317079229594	0.0	0.008651182502115717	0.0010000000000000009	0.04126240440370943	0.0010000000000000009	0.015898793130686317	0.0010000000000000009	less	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	false	False	False	False	False
RPS3_3-HNRNPM_4-interaction-shap	0.000015527009963989258	0.02461419627070427	0.7269369959831238	1.4697649478912354	-0.8431994915008545	-0.5517842769622803	239	487	0.9964142259414225	0.9385092402464065	0.998	0.943	118080	76949	0.9851389820460704	0.990341368958661	1.0	0.999	5498	7831	0.5117700982175336	0.6645931554079939	0.609	0.963	0.01127524389535206	0.0020000000000000018	0.05183212871225451	0.05600000000000005	0.4846441277238889	0.389	0.27391608483841257	0.020000000000000018	greater	0.8256511160375498	1.0	3.389207796292997e-85	0.48238306962305666	3.408939332530932e-92	1.0	0.0	0.0	false	None	False	False	False
PRPF8_4-UCHL5_5-interaction-shap	-0.003137268591672182	-0.003955563064664602	1.359736680984497	1.0885541439056396	-0.039743583649396896	-0.21532993018627167	14955	44082	0.9547177532597794	0.9544592577469262	0.998	0.999	748861	604648	0.9658496583478108	0.9560593419642502	1.0	0.999	38871	419415	0.7253141673741349	0.8332965034631568	0.989	0.995	0.011131905088031413	0.0020000000000000018	0.0016000842173240493	0.0	0.22940358588564447	0.009000000000000008	0.12116275428376944	0.0040000000000000036	less	4.813668631905876e-6	1.0	1.0	1.0	6.082293156715224e-20	0.02038365107106108	1.0	1.0	false	None	False	False	False
AQR_4-BUD13_4-interaction-shap	-0.010415793396532536	-0.030972784385085106	0.7352287769317627	1.1961925029754639	0.21850769221782684	0.5062833428382874	29723	103865	0.954230730410793	0.9685712511433111	0.999	1.0	219010	861155	0.9653505730331948	0.960551454732307	0.999	0.999	43184	72850	0.9545056270841052	0.9436816609471517	1.0	0.999	0.011119842622401843	0.0	0.008019796411004143	0.0010000000000000009	0.00027489667331226375	0.0010000000000000009	0.02488959019615944	0.0010000000000000009	less	0.8907511767785934	1.0	0.6545273060245675	1.0	1.1254567312245054e-41	1.0	0.3991115910963524	1.0	false	None	False	False	False
SND1_2-AQR_5-interaction-shap	-0.042384445667266846	-0.0052208504639565945	-0.18224208056926727	-0.24509850144386292	-0.11271006613969803	-0.43198004364967346	16789	8881	0.8827434034189053	0.8028923544645872	0.999	0.989	108081	114242	0.8936909077451172	0.8770760928555172	0.998	0.997	373618	386277	0.8087311746222077	0.8222989202049308	0.993	0.992	0.010947504326211832	0.0010000000000000009	0.07418373839093007	0.008000000000000007	0.07401222879669767	0.006000000000000005	0.019406565740343606	0.0030000000000000027	less	0.9999999999999978	3.327273827536287e-159	1.0	6.290131994058267e-14	6.081902949763151e-6	1.0022104556425462e-75	1.0	4.25486270409621e-7	false	None	None	None	None
SND1_3-GRWD1_4-interaction-shap	-0.052116136997938156	-0.04948034510016441	1.385410189628601	1.4929884672164917	1.2845640182495117	0.8225722312927246	4408	1466	0.9944137931034484	0.9975477489768078	1.0	1.0	111312	107419	0.9834794990656893	0.9829830290730689	1.0	0.999	366906	118530	0.9724725951606136	0.9754136758626506	1.0	1.0	0.01093429403775903	0.0	0.014564719903738865	0.0010000000000000009	0.021941197942834778	0.0	0.02213407311415716	0.0	less	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	false	None	None	None	None
